NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
579,485,0000-9999,,,Available,,N/A,
579,486,0000-9999,,,Available,,N/A,
579,487,0000-9999,,,Not Available,,N/A,
579,488,0000-9999,TELUS Mobility,8303,In Service,Granby,Dec 22 2010 ,
579,489,0000-9999,TELUS Mobility,8303,In Service,St-Hyacinthe,Jan 25 2012 ,
579,490,0000-9999,TELUS Mobility,8303,In Service,Vaudreuil,Mar 12 2012 ,
579,491,0000-9999,TELUS Mobility,8303,In Service,Valleyfield,Sep 10 2012 ,
579,492,0000-9999,TELUS Mobility,8303,In Service,Sorel,Oct  8 2015 ,
579,493,0000-9999,,,Not Available,,N/A,
579,494,0000-9999,,,Not Available,,N/A,
579,495,0000-9999,,,Not Available,,N/A,
579,496,0000-9999,,,Not Available,,N/A,
579,497,0000-9999,,,Not Available,,N/A,
579,498,0000-9999,,,Not Available,,N/A,
579,499,0000-9999,,,Available,,N/A,
579,500,0000-9999,,,Available,,N/A,
579,501,0000-9999,,,Available,,N/A,
579,502,0000-9999,,,Available,,N/A,
579,503,0000-9999,,,Not Available,,N/A,
579,504,0000-9999,,,Not Available,,N/A,
579,505,0000-9999,,,Not Available,,N/A,
579,506,0000-9999,,,Not Available,,N/A,
579,507,0000-9999,,,Not Available,,N/A,
579,508,0000-9999,,,Not Available,,N/A,
579,509,0000-9999,,,Available,,N/A,
579,510,0000-9999,,,Not Available,,N/A,
579,511,0000-9999,,,Not Available,,N/A,
579,512,0000-9999,,,Not Available,,N/A,
579,513,0000-9999,,,Not Available,,N/A,
579,514,0000-9999,,,Not Available,,N/A,
579,515,0000-9999,,,Not Available,,N/A,
579,516,0000-9999,,,Not Available,,N/A,
579,517,0000-9999,,,Not Available,,N/A,
579,518,0000-9999,,,Not Available,,N/A,
579,519,0000-9999,,,Not Available,,N/A,
579,520,0000-9999,,,Not Available,,N/A,
579,521,0000-9999,,,Not Available,,N/A,
579,522,0000-9999,,,Not Available,,N/A,
579,523,0000-9999,,,Not Available,,N/A,
579,524,0000-9999,,,Not Available,,N/A,
579,525,0000-9999,Bell Mobility,6574,In Service,St-Jerome,Jun 25 2015 ,
579,526,0000-9999,,,Not Available,,N/A,
579,527,0000-9999,,,Not Available,,N/A,
579,528,0000-9999,,,Not Available,,N/A,
579,529,0000-9999,,,Not Available,,N/A,
579,530,0000-9999,,,Available,,N/A,
579,531,0000-9999,,,Not Available,,N/A,
579,532,0000-9999,,,Not Available,,N/A,
579,533,0000-9999,,,Not Available,,N/A,
579,534,0000-9999,,,Not Available,,N/A,
579,535,0000-9999,,,Not Available,,N/A,
579,536,0000-9999,,,Not Available,,N/A,
579,537,0000-9999,,,Not Available,,N/A,
579,538,0000-9999,,,Not Available,,N/A,
579,539,0000-9999,,,Not Available,,N/A,
579,540,0000-9999,,,Not Available,,N/A,
579,541,0000-9999,,,Not Available,,N/A,
579,542,0000-9999,,,Not Available,,N/A,
579,543,0000-9999,,,Not Available,,N/A,
579,544,0000-9999,,,Not Available,,N/A,
579,545,0000-9999,,,Not Available,,N/A,
579,546,0000-9999,,,Not Available,,N/A,
579,547,0000-9999,,,Not Available,,N/A,
579,548,0000-9999,,,Not Available,,N/A,
579,549,0000-9999,,,Not Available,,N/A,
579,550,0000-9999,,,Not Available,,N/A,
579,551,0000-9999,,,Not Available,,N/A,
579,552,0000-9999,,,Not Available,,N/A,
579,553,0000-9999,,,Not Available,,N/A,
579,554,0000-9999,,,Not Available,,N/A,
579,555,0000-9999,,,Not Available,,N/A,
579,556,0000-9999,,,Not Available,,N/A,
579,557,0000-9999,,,Not Available,,N/A,
579,558,0000-9999,,,Not Available,,N/A,
579,559,0000-9999,,,Not Available,,N/A,
579,560,0000-9999,,,Not Available,,N/A,
579,561,0000-9999,,,Not Available,,N/A,
579,562,0000-9999,,,Not Available,,N/A,
579,563,0000-9999,,,Not Available,,N/A,
579,564,0000-9999,,,Not Available,,N/A,
579,565,0000-9999,,,Not Available,,N/A,
579,566,0000-9999,,,Not Available,,N/A,
579,567,0000-9999,,,Not Available,,N/A,
579,568,0000-9999,,,Not Available,,N/A,
579,569,0000-9999,,,Not Available,,N/A,
579,570,0000-9999,,,Not Available,,N/A,
579,571,0000-9999,,,Not Available,,N/A,
579,572,0000-9999,,,Not Available,,N/A,
579,573,0000-9999,,,Not Available,,N/A,
579,574,0000-9999,,,Not Available,,N/A,
579,575,0000-9999,,,Not Available,,N/A,
579,576,0000-9999,,,Not Available,,N/A,
579,577,0000-9999,,,Not Available,,N/A,
579,578,0000-9999,,,Available,,N/A,
579,579,0000-9999,,,Not Available,,N/A,
579,580,0000-9999,,,Not Available,,N/A,
579,581,0000-9999,,,Not Available,,N/A,
579,582,0000-9999,,,Not Available,,N/A,
579,583,0000-9999,,,Not Available,,N/A,
579,584,0000-9999,,,Not Available,,N/A,
579,585,0000-9999,,,Not Available,,N/A,
579,586,0000-9999,,,Not Available,,N/A,
579,587,0000-9999,,,Not Available,,N/A,
579,588,0000-9999,,,Not Available,,N/A,
579,589,0000-9999,,,Available,,N/A,
579,590,0000-9999,,,Not Available,,N/A,
579,591,0000-9999,,,Not Available,,N/A,
579,592,0000-9999,,,Not Available,,N/A,
579,593,0000-9999,TELUS Mobility,8303,Assigned,Joliette,Sep 25 2018 ,
579,594,0000-9999,TELUS Mobility,8303,In Service,Granby,Jan 16 2017 ,
579,595,0000-9999,TELUS Mobility,8303,In Service,Granby,Dec  4 2014 ,
579,596,0000-9999,,,Not Available,,N/A,
579,597,0000-9999,,,Not Available,,N/A,
579,598,0000-9999,,,Not Available,,N/A,
579,599,0000-9999,,,Not Available,,N/A,
579,600,0000-9999,,,Available,,N/A,
579,601,0000-9999,,,Available,,N/A,
579,602,0000-9999,,,Available,,N/A,
579,603,0000-9999,,,Available,,N/A,
579,604,0000-9999,,,Available,,N/A,
579,605,0000-9999,,,Available,,N/A,
579,606,0000-9999,,,Available,,N/A,
579,607,0000-9999,,,Available,,N/A,
579,608,0000-9999,,,Available,,N/A,
579,609,0000-9999,,,Available,,N/A,
579,610,0000-9999,,,Not Available,,N/A,
579,611,0000-9999,,,Not Available,,N/A,
579,612,0000-9999,,,Available,,N/A,
579,613,0000-9999,,,Available,,N/A,
579,614,0000-9999,,,Available,,N/A,
579,615,0000-9999,,,Available,,N/A,
579,616,0000-9999,,,Available,,N/A,
579,617,0000-9999,,,Available,,N/A,
579,618,0000-9999,,,Available,,N/A,
579,619,0000-9999,,,Available,,N/A,
579,620,0000-9999,,,Available,,N/A,
579,621,0000-9999,,,Available,,N/A,
579,622,0000-9999,,,Not Available,,N/A,
579,623,0000-9999,,,Not Available,,N/A,
579,624,0000-9999,,,Not Available,,N/A,
579,625,0000-9999,,,Not Available,,N/A,
579,626,0000-9999,,,Not Available,,N/A,
579,627,0000-9999,,,Not Available,,N/A,
579,628,0000-9999,,,Not Available,,N/A,
579,629,0000-9999,,,Not Available,,N/A,
579,630,0000-9999,,,Available,,N/A,
579,631,0000-9999,,,Available,,N/A,
579,632,0000-9999,,,Available,,N/A,
579,633,0000-9999,,,Available,,N/A,
579,634,0000-9999,,,Available,,N/A,
579,635,0000-9999,,,Available,,N/A,
579,636,0000-9999,,,Available,,N/A,
579,637,0000-9999,,,Available,,N/A,
579,638,0000-9999,,,Available,,N/A,
579,639,0000-9999,,,Available,,N/A,
579,640,0000-9999,,,Available,,N/A,
579,641,0000-9999,,,Available,,N/A,
579,642,0000-9999,,,Available,,N/A,
579,643,0000-9999,,,Available,,N/A,
579,644,0000-9999,,,Available,,N/A,
579,645,0000-9999,,,Available,,N/A,
579,646,0000-9999,,,Not Available,,N/A,
579,647,0000-9999,,,Not Available,,N/A,
579,648,0000-9999,,,Not Available,,N/A,
579,649,0000-9999,,,Not Available,,N/A,
579,650,0000-9999,,,Not Available,,N/A,
579,651,0000-9999,,,Not Available,,N/A,
579,652,0000-9999,,,Not Available,,N/A,
579,653,0000-9999,,,Not Available,,N/A,
579,654,0000-9999,,,Not Available,,N/A,
579,655,0000-9999,Bell Mobility,6574,In Service,Lachute,Apr 10 2017 ,
579,656,0000-9999,,,Not Available,,N/A,
579,657,0000-9999,,,Not Available,,N/A,
579,658,0000-9999,,,Not Available,,N/A,
579,659,0000-9999,,,Not Available,,N/A,
579,660,0000-9999,,,Available,,N/A,
579,661,0000-9999,,,Available,,N/A,
579,662,0000-9999,,,Available,,N/A,
579,663,0000-9999,,,Available,,N/A,
579,664,0000-9999,,,Available,,N/A,
579,665,0000-9999,,,Not Available,,N/A,
579,666,0000-9999,,,Available,,N/A,
579,667,0000-9999,,,Not Available,,N/A,
579,668,0000-9999,,,Not Available,,N/A,
579,669,0000-9999,,,Not Available,,N/A,
579,670,0000-9999,,,Not Available,,N/A,
579,671,0000-9999,,,Not Available,,N/A,
579,672,0000-9999,,,Not Available,,N/A,
579,673,0000-9999,,,Not Available,,N/A,
579,674,0000-9999,,,Not Available,,N/A,
579,675,0000-9999,,,Not Available,,N/A,
579,676,0000-9999,,,Not Available,,N/A,
579,677,0000-9999,,,Not Available,,N/A,
579,678,0000-9999,,,Not Available,,N/A,
579,679,0000-9999,,,Available,,N/A,
579,680,0000-9999,,,Not Available,,N/A,
579,681,0000-9999,,,Not Available,,N/A,
579,682,0000-9999,,,Not Available,,N/A,
579,683,0000-9999,,,Not Available,,N/A,
579,684,0000-9999,,,Available,,N/A,
579,685,0000-9999,,,Not Available,,N/A,
579,686,0000-9999,,,Not Available,,N/A,
579,687,0000-9999,,,Not Available,,N/A,
579,688,0000-9999,,,Available,,N/A,
579,689,0000-9999,,,Not Available,,N/A,
579,690,0000-9999,,,Not Available,,N/A,
579,691,0000-9999,,,Not Available,,N/A,
579,692,0000-9999,,,Not Available,,N/A,
579,693,0000-9999,,,Not Available,,N/A,
579,694,0000-9999,,,Not Available,,N/A,
579,695,0000-9999,,,Not Available,,N/A,
579,696,0000-9999,,,Not Available,,N/A,
579,697,0000-9999,,,Not Available,,N/A,
579,698,0000-9999,,,Not Available,,N/A,
579,699,0000-9999,,,Not Available,,N/A,
579,700,0000-9999,,,Available,,N/A,
579,701,0000-9999,,,Not Available,,N/A,
579,702,0000-9999,,,Not Available,,N/A,
579,703,0000-9999,,,Not Available,,N/A,
579,704,0000-9999,,,Not Available,,N/A,
579,705,0000-9999,,,Not Available,,N/A,
579,706,0000-9999,,,Not Available,,N/A,
579,707,0000-9999,,,Not Available,,N/A,
579,708,0000-9999,,,Not Available,,N/A,
579,709,0000-9999,,,Not Available,,N/A,
579,710,0000-9999,,,Not Available,,N/A,
579,711,0000-9999,,,Not Available,,N/A,
579,712,0000-9999,,,Not Available,,N/A,
579,713,0000-9999,,,Not Available,,N/A,
579,714,0000-9999,,,Not Available,,N/A,
579,715,0000-9999,,,Not Available,,N/A,
579,716,0000-9999,,,Not Available,,N/A,
579,717,0000-9999,,,Not Available,,N/A,
579,718,0000-9999,,,Not Available,,N/A,
579,719,0000-9999,,,Not Available,,N/A,
579,720,0000-9999,,,Available,,N/A,
579,721,0000-9999,,,Available,,N/A,
579,722,0000-9999,,,Available,,N/A,
579,723,0000-9999,,,Available,,N/A,
579,724,0000-9999,,,Not Available,,N/A,
579,725,0000-9999,,,Not Available,,N/A,
579,726,0000-9999,,,Not Available,,N/A,
579,727,0000-9999,,,Not Available,,N/A,
579,728,0000-9999,,,Not Available,,N/A,
579,729,0000-9999,,,Not Available,,N/A,
579,730,0000-9999,,,Not Available,,N/A,
579,731,0000-9999,,,Not Available,,N/A,
579,732,0000-9999,,,Not Available,,N/A,
579,733,0000-9999,,,Not Available,,N/A,
579,734,0000-9999,,,Not Available,,N/A,
579,735,0000-9999,,,Not Available,,N/A,
579,736,0000-9999,,,Not Available,,N/A,
579,737,0000-9999,,,Available,,N/A,
579,738,0000-9999,,,Available,,N/A,
579,739,0000-9999,,,Available,,N/A,
579,740,0000-9999,,,Available,,N/A,
579,741,0000-9999,,,Available,,N/A,
579,742,0000-9999,,,Not Available,,N/A,
579,743,0000-9999,,,Not Available,,N/A,
579,744,0000-9999,,,Not Available,,N/A,
579,745,0000-9999,,,Not Available,,N/A,
579,746,0000-9999,,,Not Available,,N/A,
579,747,0000-9999,,,Not Available,,N/A,
579,748,0000-9999,,,Not Available,,N/A,
579,749,0000-9999,,,Not Available,,N/A,
579,750,0000-9999,,,Not Available,,N/A,
579,751,0000-9999,,,Not Available,,N/A,
579,752,0000-9999,,,Not Available,,N/A,
579,753,0000-9999,,,Not Available,,N/A,
579,754,0000-9999,,,Not Available,,N/A,
579,755,0000-9999,,,Not Available,,N/A,
579,756,0000-9999,,,Not Available,,N/A,
579,757,0000-9999,,,Available,,N/A,
579,758,0000-9999,,,Not Available,,N/A,
579,759,0000-9999,,,Not Available,,N/A,
579,760,0000-9999,,,Not Available,,N/A,
579,761,0000-9999,,,Not Available,,N/A,
579,762,0000-9999,,,Not Available,,N/A,
579,763,0000-9999,,,Not Available,,N/A,
579,764,0000-9999,TELUS Mobility,8303,In Service,Ste-Therese,Dec  9 2010 ,
579,765,0000-9999,TELUS Mobility,8303,In Service,St-Jerome,Feb 22 2011 ,
579,766,0000-9999,TELUS Mobility,8303,In Service,Joliette,Jun 25 2015 ,
579,767,0000-9999,,,Not Available,,N/A,
579,768,0000-9999,,,Not Available,,N/A,
579,769,0000-9999,,,Not Available,,N/A,
579,770,0000-9999,,,Available,,N/A,
579,771,0000-9999,,,Not Available,,N/A,
579,772,0000-9999,,,Not Available,,N/A,
579,773,0000-9999,,,Not Available,,N/A,
579,774,0000-9999,,,Not Available,,N/A,
579,775,0000-9999,,,Not Available,,N/A,
579,776,0000-9999,,,Not Available,,N/A,
579,777,0000-9999,,,Available,,N/A,
579,778,0000-9999,,,Not Available,,N/A,
579,779,0000-9999,,,Available,,N/A,
579,780,0000-9999,,,Not Available,,N/A,
579,781,0000-9999,,,Not Available,,N/A,
579,782,0000-9999,,,Not Available,,N/A,
579,783,0000-9999,,,Not Available,,N/A,
579,784,0000-9999,,,Not Available,,N/A,
579,785,0000-9999,,,Not Available,,N/A,
579,786,0000-9999,,,Available,,N/A,
579,787,0000-9999,,,Available,,N/A,
579,788,0000-9999,,,Available,,N/A,
579,789,0000-9999,,,Available,,N/A,
579,790,0000-9999,,,Available,,N/A,
579,791,0000-9999,,,Available,,N/A,
579,792,0000-9999,,,Available,,N/A,
579,793,0000-9999,,,Available,,N/A,
579,794,0000-9999,,,Available,,N/A,
579,795,0000-9999,,,Available,,N/A,
579,796,0000-9999,,,Available,,N/A,
579,797,0000-9999,,,Available,,N/A,
579,798,0000-9999,,,Not Available,,N/A,
579,799,0000-9999,,,Available,,N/A,
579,800,0000-9999,,,Available,,N/A,
579,801,0000-9999,,,Available,,N/A,
579,802,0000-9999,,,Available,,N/A,
579,803,0000-9999,,,Available,,N/A,
579,804,0000-9999,,,Available,,N/A,
579,805,0000-9999,,,Available,,N/A,
579,806,0000-9999,,,Available,,N/A,
579,807,0000-9999,,,Not Available,,N/A,
